Category,Original,Transformed
Gen Z → Formal,"brb, gotta dip","Be right back, I have to leave."
Gen Z → Formal,that party was lit,That party was very exciting.
Gen Z → Formal,"yo chill, it's all good","Relax, everything is fine."
Gen Z → Formal,can't even rn,I'm overwhelmed right now.
Gen Z → Formal,wyd later?,What are your plans later?
Gen Z → Formal,this movie slaps,This movie is excellent.
Gen Z → Formal,"nah, I’m good","No, thank you."
Gen Z → Formal,lowkey wanna skip,"Honestly, I want to skip it."
Gen Z → Formal,ngl I’m shook,I'm honestly surprised.
Gen Z → Formal,she’s the real MVP,She truly deserves the credit.
Gen Z → Formal,it’s giving classy vibes,It conveys a classy impression.
Gen Z → Formal,stop the cap,Please be honest.
Gen Z → Formal,let’s bounce,Let’s leave now.
Gen Z → Formal,that’s sus,That seems suspicious.
Gen Z → Formal,I’m dead 😂,That is extremely funny.
Gen Z → Formal,big yikes,That is quite unfortunate.
Gen Z → Formal,hit me up,Contact me later.
Gen Z → Formal,gotta flex a bit,I need to show off a little.
Gen Z → Formal,vibe check!,Just checking the mood.
Gen Z → Formal,not me crying 😭,I'm feeling emotional.
Gen Z → Formal,fr bro this meeting got me snoozin 😴,"Honestly, this meeting is putting me to sleep."
Gen Z → Formal,mood af,That's very relatable.
Gen Z → Formal,this tea is hot ☕,This gossip is intense.
Gen Z → Formal,highkey obsessed,I'm truly very interested.
Gen Z → Formal,idc tbh,I honestly do not care.
Gen Z → Formal,"felt cute, might delete later","I felt confident earlier, but unsure now."
Gen Z → Formal,gonna ghost for a while,I'll be taking a break from social interactions.
Gen Z → Formal,I’m screaming,That’s hilarious!
Gen Z → Formal,this ain’t it chief,This is not acceptable.
Gen Z → Formal,let’s link,Let’s meet up later.
Gen Z → Formal,yo this is fire 🔥,This is really impressive.
Gen Z → Formal,don’t @ me,Please don't argue with me.
Gen Z → Formal,no cap,I'm being completely honest.
Gen Z → Formal,sending good vibes,Wishing you well.
Gen Z → Formal,on god,I swear it's true.
Gen Z → Formal,we vibin,We are enjoying the moment.
Gen Z → Formal,bet,Alright!
Gen Z → Formal,you do you,Do what makes you happy.
Gen Z → Formal,catch feels,Developing romantic feelings.
Gen Z → Formal,he’s extra,He tends to exaggerate.
Gen Z → Formal,they woke af,They are very socially aware.
Gen Z → Formal,take the L,Accept the failure.
Gen Z → Formal,cringe,That's embarrassing.
Gen Z → Formal,get wrecked,You lost significantly.
Gen Z → Formal,ok boomer,"Okay, older generation."
Gen Z → Formal,snatched,Looking stylish.
Gen Z → Formal,slay queen,You look amazing!
Gen Z → Formal,flex on them,Show off your success.
Gen Z → Formal,drip too hard,Very fashionable outfit.
Gen Z → Formal,that’s a W,That’s a success.
Gen Z → Formal,he’s sus,He’s acting suspicious.
Gen Z → Formal,can’t relate,I can't understand that experience.
Gen Z → Formal,spill the tea,Tell me the news.
Gen Z → Formal,periodt,Exactly!
Gen Z → Formal,ratio,You didn’t win this argument.
Gen Z → Formal,same energy,Has a similar attitude.
Gen Z → Formal,cancelled,No longer supported.
Gen Z → Formal,simp,Infatuated person.
Gen Z → Formal,shooketh,Truly surprised.
Gen Z → Formal,this hits different,This feels unique.
Gen Z → Formal,say less,Say no more.
Gen Z → Formal,stan culture,Celebrity admiration culture.
Gen Z → Formal,I’m weak,That’s hilarious.
Gen Z → Formal,that’s a flex,You're showing off.
Gen Z → Formal,this is bussin,This tastes amazing.
Gen Z → Formal,he got clapped,He lost badly.
Gen Z → Formal,I’m vibing,I'm enjoying myself.
Gen Z → Formal,zero chill,Completely unrestrained.
Gen Z → Formal,too extra,Too dramatic.
Gen Z → Formal,get that bread,Go earn some money.
Gen Z → Formal,yeet,Throw it enthusiastically.
Gen Z → Formal,sending it,I'm doing it wholeheartedly.
Gen Z → Formal,I can’t deal,I’m overwhelmed.
Gen Z → Formal,major throwback,A big nostalgic moment.
Gen Z → Formal,he snapped,He performed exceptionally.
Gen Z → Formal,I’m not okay,I'm not feeling well.
Gen Z → Formal,don’t trip,Don’t worry.
Gen Z → Formal,sus af,Very suspicious.
Gen Z → Formal,it’s mid,It’s average.
Gen Z → Formal,I’m shooketh,I’m genuinely shocked.
Gen Z → Formal,vibe check failed,You failed the attitude check.
Gen Z → Formal,sksksk,Laughing uncontrollably.
Gen Z → Formal,and I oop,I’m surprised and confused.
Gen Z → Formal,drip check,Very stylish appearance.
Gen Z → Formal,I’m crying,I'm very emotional.
Gen Z → Formal,get lit,Let's have fun.
Gen Z → Formal,pull up,Come over.
Gen Z → Formal,it’s a bop,It’s very catchy.
Gen Z → Formal,catch these hands,Prepare for a fight.
Gen Z → Formal,I’m done,I’ve had enough.
Gen Z → Formal,real ones know,True supporters understand.
Gen Z → Formal,deadass,I'm serious.
Gen Z → Formal,finna bounce,I'm about to leave.
Gen Z → Formal,say no more,Understood.
Gen Z → Formal,he wildin,He’s acting crazy.
Gen Z → Formal,let’s collab,Let’s work together.
Gen Z → Formal,fire emoji moment,This deserves applause.
Gen Z → Formal,based,Confident and bold.
Gen Z → Formal,flex alert,Please stop talking.
Gen Z → Formal,savage mode,What’s the latest update?
Gen Z → Formal,talk to the hand,I keep thinking about it.
Gen Z → Formal,what’s the 411,I support that relationship.
Gen Z → Formal,living rent free,Only strange behavior here.
